month,month_num,country,rank,arrivals
Jan,1,Singapore,1,759604
Jan,1,China,2,425586
Jan,1,Indonesia,3,394234
Jan,1,Thailand,4,155630
Jan,1,India,5,98821
Jan,1,Brunei,6,84995
Jan,1,South Korea,7,63535
Jan,1,Australia,8,54627
Feb,2,Singapore,1,549726
Feb,2,Indonesia,2,292149
Feb,2,China,3,284836
Feb,2,Thailand,4,136534
Feb,2,India,5,77656
Feb,2,Brunei,6,66281
Feb,2,South Korea,7,45920
Feb,2,Australia,8,24737
Mar,3,Singapore,1,798783
Mar,3,Indonesia,2,269155
Mar,3,China,3,256068
Mar,3,Thailand,4,125935
Mar,3,India,5,96715
Mar,3,Brunei,6,87405
Mar,3,South Korea,7,35377
Mar,3,Australia,8,24986
Apr,4,Singapore,1,610039
Apr,4,Indonesia,2,333441
Apr,4,China,3,264582
Apr,4,Thailand,4,175206
Apr,4,India,5,109209
Apr,4,Brunei,6,75799
Apr,4,Australia,7,37823
Apr,4,South Korea,8,24619
May,5,Singapore,1,737921
May,5,China,2,310458
May,5,Indonesia,3,309533
May,5,Thailand,4,146909
May,5,India,5,144187
May,5,Brunei,6,78501
May,5,South Korea,7,30286
May,5,Australia,8,25442
Jun,6,Singapore,1,945817
Jun,6,Indonesia,2,334498
Jun,6,China,3,310975
Jun,6,Thailand,4,134976
Jun,6,India,5,111868
Jun,6,Brunei,6,97216
Jun,6,South Korea,7,30766
Jun,6,Australia,8,28843
Jul,7,Singapore,1,939065
Jul,7,China,2,475628
Jul,7,Indonesia,3,361379
Jul,7,Thailand,4,122204
Jul,7,India,5,104852
Jul,7,Brunei,6,72355
Jul,7,South Korea,7,49636
Jul,7,Australia,8,40208
Aug,8,Singapore,1,694150
Aug,8,China,2,464425
Aug,8,Indonesia,3,273129
Aug,8,Thailand,4,148689
Aug,8,Brunei,5,95974
Aug,8,India,6,92904
Aug,8,South Korea,7,46857
Aug,8,Australia,8,26531
Sep,9,Singapore,1,711076
Sep,9,China,2,293577
Sep,9,Indonesia,3,280495
Sep,9,Thailand,4,143346
Sep,9,India,5,97640
Sep,9,Brunei,6,69485
Sep,9,Australia,7,31487
Sep,9,South Korea,8,27989
Oct,10,Singapore,1,754949
Oct,10,China,2,316499
Oct,10,Indonesia,3,277081
Oct,10,Thailand,4,169069
Oct,10,India,5,101051
Oct,10,Brunei,6,77407
Oct,10,South Korea,7,36424
Oct,10,Australia,8,35261
Nov,11,Singapore,1,770048
Nov,11,Indonesia,2,283103
Nov,11,China,3,277678
Nov,11,Thailand,4,121773
Nov,11,India,5,96757
Nov,11,Brunei,6,86720
Nov,11,Australia,7,35859
Nov,11,South Korea,8,32500
Dec,12,Singapore,1,1073335
Dec,12,Indonesia,2,346932
Dec,12,China,3,284828
Dec,12,Thailand,4,140699
Dec,12,Brunei,5,136910
Dec,12,India,6,113309
Dec,12,Australia,7,54880
Dec,12,South Korea,8,39595
