poe,state,lat,lon,type,total_arrivals
Bangunan Sultan Iskandar,Johor,1.734225,103.900412,Land,17451455
Gelang Patah,Johor,1.37719,103.598752,Land,8246089
LTA Kuala Lumpur Terminal 1,Selangor,2.754224,101.704334,Air,6781264
LTA Kuala Lumpur Terminal 2,Selangor,2.743143,101.686162,Air,4689606
Bukit Kayu Hitam,Kedah,6.51158,100.421534,Land,1679135
LTA Bayan Lepas,Pulau Pinang,5.299035,100.276335,Air,1453767
Padang Besar,Perlis,6.663913,100.322913,Land,1206475
Woodlands Train Checkpoint,Singapore,1.4438,103.7696,Land,929850
Sungai Tujuh,Sarawak,4.584325,114.074793,Land,739512
Stulang Laut,Johor,1.470422,103.78309,Sea,497780
Rantau Panjang,Kelantan,6.021019,101.976712,Land,476973
LTA Kota Kinabalu,Sabah,5.923267,116.051228,Air,440179
Pos Imigresen Mengkalap,Sarawak,4.788288,115.23883,Land,375624
Tebedu,Sarawak,0.987882,110.353034,Land,349193
Tedungan,Sarawak,4.737706,114.811735,Land,241771
Jeti Pasir Gudang,Johor,1.443378,103.905418,Sea,232450
Pandaruan,Sarawak,4.693084,115.030051,Land,226901
Pengkalan Hulu (Bukit Berapit),Perak,5.744794,101.024478,Land,223056
Biawak,Sarawak,1.629456,109.691264,Land,221068
Terminal Feri Puteri Harbour,Johor,1.414545,103.660297,Sea,220976
Jeti Kukup,Johor,1.325433,103.442884,Sea,197538
LTA Sultan Ismail Senai,Johor,1.63931,103.668018,Air,185290
Pos Imigresen Bukit Bunga,Kelantan,5.837093,101.894862,Land,184188
Pos Kawalan Imigresen Muar,Johor,2.06091,102.575061,Sea,165364
LTA Langkawi,Kedah,6.342356,99.731137,Air,150556
Jeti Port Dickson,Negeri Sembilan,2.526064,101.796108,Sea,139066
Pengkalan Kubur,Kelantan,6.23291,102.090991,Sea,129361
LTA Kuching,Sarawak,1.487101,110.34162,Air,125437
Wang Kelian,Perlis,6.696276,100.179432,Land,124659
LTA Ipoh,Perak,4.570015,101.09854,Air,122829
Pelabuhan Klang Barat - SCT,Selangor,2.984739,101.337117,Sea,121507
Pelabuhan Melaka,Melaka,2.191919,102.244812,Sea,98425
Dermaga Tawau,Sabah,4.243936,117.893219,Sea,92057
LTA Subang Terminal 3,Selangor,3.132778,101.552867,Air,91444
ICQ Durian Burung,Kedah,6.470318,100.708365,Land,75732
Jeti Kuah Langkawi,Kedah,6.306484,99.851107,Sea,63747
Pelabuhan Klang Barat - KMT,Selangor,2.948956,101.307168,Sea,59740
Tanjung Pengelih,Johor,1.369704,104.088742,Sea,52203
Lubok Antu,Sarawak,1.03159,111.872744,Land,47903
Telaga Harbour Park,Kedah,6.367519,99.686475,Sea,32344
LT Miri,Sarawak,4.323014,113.987401,Air,29209
Dermaga Labuan,Labuan,5.276138,115.250237,Sea,26481
Pejabat Imigresen Desaru Coast,Johor,1.557055,104.240022,Sea,20224
Terminal Feri Minyak Beku,Johor,1.798297,102.894502,Sea,16922
LT Batu Berendam,Melaka,2.261781,102.250845,Air,12817
Pelabuhan Klang Utara,Selangor,3.032807,101.360728,Sea,12522
Pelabuhan Tanjung Pelepas,Johor,1.368093,103.552368,Sea,12135
LTA Kuantan,Pahang,3.780726,103.215062,Air,9044
Pelabuhan Klang Selatan - Jeti,Selangor,2.998438,101.391943,Sea,8905
Dermaga Sandakan,Sabah,5.87818,118.052441,Sea,6324
LT Tawau,Sabah,4.313986,118.11431,Air,5890
Roro Labuan,Labuan,5.276936,115.242751,Sea,5881
LT Sibu,Sarawak,2.256185,111.986208,Air,5128
Tanjung Belungkor,Johor,1.445706,104.062527,Sea,2847
LT Bintulu,Sarawak,3.123793,113.023891,Air,1984
LT Sandakan,Sabah,5.89719,118.061768,Air,1928
Jeti Tioman,Pahang,2.818878,104.158009,Sea,1906
Pasir Gudang,Johor,1.443634,103.905527,Sea,1517
LTA Sultan Ismail,Kelantan,6.169708,102.29331,Air,895
Pejabat Imigresen Port Swettenham,Selangor,2.998701,101.395773,Sea,737
Jeti Kuala Perlis,Perlis,6.398358,100.140954,Sea,620
Pelabuhan Kuantan,Pahang,3.966533,103.420655,Sea,379
Dermaga Kota Kinabalu,Sabah,5.991955,116.092284,Sea,347
Merapok,Sabah,4.95851,115.505837,Sea,323
Kawasan Pelabuhan Sematan,Sarawak,1.805358,109.77706,Sea,212
Pelabuhan Kuching,Sarawak,1.554905,110.397063,Sea,203
LT Labuan,Labuan,5.294663,115.249315,Air,179
ICQS Kudat,Sabah,6.879539,116.848088,Sea,171
Lumut,Perak,4.196084,100.663716,Sea,149
Tanjung Lembung,Kedah,6.292877,99.786682,Sea,104
LTA Kuala Terengganu,Terengganu,5.380131,103.105091,Air,103
Pelabuhan Kemaman,Terengganu,4.258506,103.465268,Sea,73
Bunan Gega,Sarawak,0.917433,110.540944,Land,63
Dermaga Bintulu,Sarawak,3.178464,113.039317,Sea,30
Dermaga Kastam Limbang,Sarawak,4.753461,115.00869,Sea,27
Sindumin,Sabah,4.9585,115.505825,Land,26
Pelabuhan Batu Pahat,Johor,1.850873,102.925215,Sea,24
Linggi,Melaka,2.388588,101.974361,Sea,11
Sebana Resort Desaru,Johor,1.41266,104.164799,Sea,7
LT Limbang,Sarawak,4.809978,115.007837,Air,5
Jeti Menumbok,Sabah,5.302942,115.37346,Sea,4
Kerteh,Terengganu,4.505061,103.443201,Sea,4
Dermaga Tanjung Manis,Sarawak,2.144077,111.285419,Sea,2
Batu Lintang,Sarawak,1.018009,111.556995,Land,1
