category,rating,name,state
Recreation Centers,4.1,Klang Sports Centre (F.K.A TM Sports Complex),Selangor
Fishing & Hunting,4.7,TCE Tackles Sdn Bhd,Sabah
Gyms & Studios,4.3,Xtreme Fitness NS,Johor
Gyms & Studios,4.7,BELIEVE FITNESS - Pinnacle Sri Petaling Mall,Kuala Lumpur
Gyms & Studios,4.2,OHM Fitness Centre,Melaka
Gyms & Studios,5.0,OXYGYM FITNESS,Selangor
Recreation Centers,4.2,Summer Sport Centre,Negeri Sembilan
Gyms & Studios,5.0,Dr.stretch 1 Utama,Selangor
Fishing & Hunting,4.4,TCE Tackles Sdn Bhd,Kelantan
Fishing & Hunting,4.0,TCE Tackles Sdn Bhd,Perak
Gyms & Studios,4.7,REP by REP GYM & FITNESS CENTRE,Kedah
Recreation Centers,4.9,STUMPS! Indoor Cricket Centre,Selangor
Gyms & Studios,4.3,My Gym Exercise Centre,Johor
Fishing & Hunting,4.9,De'Fish Fishing Park,Kelantan
Golf & Driving Ranges,3.9,Golf & Country Club Kuala Kubu Bharu,Selangor
Fishing & Hunting,4.7,TCE Tackles Sdn Bhd,Other
Fishing & Hunting,5.0,Kolam Pancing Udang Galah Anuar Dowak (Joint Management),Perak
Recreation Centers,4.3,UiTM Shah Alam Sports Complex,Selangor
Recreation Centers,4.2,Satellite Sports PJ,Selangor
Fishing & Hunting,4.1,TCE Tackles Sdn Bhd,Selangor
Fishing & Hunting,3.8,Karambunai Fishing Jetty,Sabah
Recreation Centers,5.0,Elevate Sports Performance,Selangor
Gyms & Studios,5.0,Brother One Gym & Fitness Sentul,Kuala Lumpur
Other Outdoor & Lawn Sports,4.3,Berapit Sport Centre,Other
Gyms & Studios,4.1,Anytime Fitness Tropika Bukit Jalil - 24 Hour Gym,Kuala Lumpur
Recreation Centers,4.4,7 Stone Badminton Court,Sarawak
Gyms & Studios,4.8,Liv Studio - Yoga & Pilates,Selangor
Gyms & Studios,4.7,Batuu Climbing,Selangor
Gyms & Studios,4.9,Anne Nikko Fitness Gym,Selangor
Gyms & Studios,4.9,KFitness Gym - #1 Biggest Gym in PJ,Selangor
Gyms & Studios,4.9,KlimbZone,Sarawak
Recreation Centers,4.6,TT Sports Centre @ PJ,Selangor
Fishing & Hunting,3.7,Kolam mancing air masin telok belanga,Other
Gyms & Studios,4.7,YOLO Fitness,Sabah
Fishing & Hunting,4.4,Kolam Sri Tanjung,Selangor
Team Sports & Fields,3.6,Younique Sports Sungai Besi,Kuala Lumpur
Gyms & Studios,4.9,Union Strength Hartamas,Kuala Lumpur
