name,lat,lon,category,traffic_score,rating,state
Klang Sports Centre (F.K.A TM Sports Complex),2.98344663,101.41187125,Recreation Centers,21.71,4.1,Selangor
TCE Tackles Sdn Bhd,4.46663138,118.59213727,Fishing & Hunting,74.43,4.7,Sabah
Xtreme Fitness NS,1.46952918,103.61511921,Gyms & Studios,30.43,4.3,Johor
BELIEVE FITNESS - Pinnacle Sri Petaling Mall,3.06772893,101.69184743,Gyms & Studios,30.71,4.7,Kuala Lumpur
OHM Fitness Centre,2.23983774,102.25644997,Gyms & Studios,37.71,4.2,Melaka
OXYGYM FITNESS,3.15520141,101.59095456,Gyms & Studios,34.29,5.0,Selangor
Summer Sport Centre,2.69959251,101.9191036,Recreation Centers,27.57,4.2,Negeri Sembilan
Dr.stretch 1 Utama,3.14791633,101.6133749,Gyms & Studios,40.0,5.0,Selangor
TCE Tackles Sdn Bhd,5.83100745,102.14916173,Fishing & Hunting,67.86,4.4,Kelantan
TCE Tackles Sdn Bhd,4.0297952,101.0144196,Fishing & Hunting,53.71,4.0,Perak
REP by REP GYM & FITNESS CENTRE,5.66345551,100.54440951,Gyms & Studios,51.57,4.7,Kedah
STUMPS! Indoor Cricket Centre,3.11396017,101.63565617,Recreation Centers,50.14,4.9,Selangor
My Gym Exercise Centre,1.84278766,102.95014822,Gyms & Studios,53.57,4.3,Johor
De'Fish Fishing Park,6.03397022,102.21015194,Fishing & Hunting,41.43,4.9,Kelantan
Golf & Country Club Kuala Kubu Bharu,3.57214584,101.64739272,Golf & Driving Ranges,70.0,3.9,Selangor
TCE Tackles Sdn Bhd,5.2698344,100.47444052,Fishing & Hunting,60.71,4.7,Other
Kolam Pancing Udang Galah Anuar Dowak (Joint Management),4.00568027,101.20824675,Fishing & Hunting,51.14,5.0,Perak
UiTM Shah Alam Sports Complex,3.06725024,101.49467743,Recreation Centers,40.57,4.3,Selangor
Satellite Sports PJ,3.08825641,101.63090428,Recreation Centers,33.57,4.2,Selangor
TCE Tackles Sdn Bhd,3.08806669,101.5433276,Fishing & Hunting,65.14,4.1,Selangor
Karambunai Fishing Jetty,6.09807465,116.1366079,Fishing & Hunting,31.43,3.8,Sabah
Elevate Sports Performance,3.0891718,101.62072927,Recreation Centers,43.14,5.0,Selangor
Brother One Gym & Fitness Sentul,3.18146248,101.69514643,Gyms & Studios,33.86,5.0,Kuala Lumpur
Berapit Sport Centre,5.37532814,100.46686489,Other Outdoor & Lawn Sports,60.86,4.3,Other
Anytime Fitness Tropika Bukit Jalil - 24 Hour Gym,3.05288739,101.67581852,Gyms & Studios,35.86,4.1,Kuala Lumpur
7 Stone Badminton Court,1.46790792,110.32226456,Recreation Centers,52.0,4.4,Sarawak
Liv Studio - Yoga & Pilates,3.13743744,101.6186633,Gyms & Studios,38.71,4.8,Selangor
Batuu Climbing,3.1304802,101.62436083,Gyms & Studios,58.0,4.7,Selangor
Anne Nikko Fitness Gym,3.1389825,101.52355175,Gyms & Studios,60.86,4.9,Selangor
KFitness Gym - #1 Biggest Gym in PJ,3.09518143,101.6290206,Gyms & Studios,57.43,4.9,Selangor
KlimbZone,1.49359267,110.34733667,Gyms & Studios,48.86,4.9,Sarawak
