country,arrivals
Singapore,9344513
China,3965140
Indonesia,3755129
Thailand,1720970
India,1244969
Brunei,1029048
South Korea,463504
Australia,420684
Taiwan,400067
United Kingdom,375380
Philippines,416595
United States of America,291765
Bangladesh,252301
Japan,344030
Vietnam,285865
Germany,176097
Russia,121734
France,200775
Myanmar,170238
Pakistan,129493
Canada,97885
Netherlands,88439
Poland,48078
Italy,93820
New Zealand,51828
Cambodia,65749
Sri Lanka,70084
Kazakhstan,33895
Saudi Arabia,54559
Spain,85194
Sweden,22647
Turkey,32148
Switzerland,32499
Denmark,19837
Ireland,22946
Oman,25055
Laos,24967
Egypt,22843
Nepal,21472
Belgium,27124
Ukraine,14121
South Africa,18114
Norway,13146
Iran,19401
United Arab Emirates,7457
Maldives,17306
Iraq,8906
Mauritius,10803
Uzbekistan,8360
Turkmenistan,3532
Qatar,1154
