name,traffic_score,rating,category,state
Klang Sports Centre (F.K.A TM Sports Complex),21.71,4.1,Recreation Centers,Selangor
TCE Tackles Sdn Bhd,74.43,4.7,Fishing & Hunting,Sabah
Xtreme Fitness NS,30.43,4.3,Gyms & Studios,Johor
BELIEVE FITNESS - Pinnacle Sri Petaling Mall,30.71,4.7,Gyms & Studios,Kuala Lumpur
OHM Fitness Centre,37.71,4.2,Gyms & Studios,Melaka
OXYGYM FITNESS,34.29,5.0,Gyms & Studios,Selangor
Summer Sport Centre,27.57,4.2,Recreation Centers,Negeri Sembilan
Dr.stretch 1 Utama,40.0,5.0,Gyms & Studios,Selangor
TCE Tackles Sdn Bhd,67.86,4.4,Fishing & Hunting,Kelantan
TCE Tackles Sdn Bhd,53.71,4.0,Fishing & Hunting,Perak
REP by REP GYM & FITNESS CENTRE,51.57,4.7,Gyms & Studios,Kedah
STUMPS! Indoor Cricket Centre,50.14,4.9,Recreation Centers,Selangor
My Gym Exercise Centre,53.57,4.3,Gyms & Studios,Johor
De'Fish Fishing Park,41.43,4.9,Fishing & Hunting,Kelantan
Golf & Country Club Kuala Kubu Bharu,70.0,3.9,Golf & Driving Ranges,Selangor
TCE Tackles Sdn Bhd,60.71,4.7,Fishing & Hunting,Other
Kolam Pancing Udang Galah Anuar Dowak (Joint Management),51.14,5.0,Fishing & Hunting,Perak
UiTM Shah Alam Sports Complex,40.57,4.3,Recreation Centers,Selangor
Satellite Sports PJ,33.57,4.2,Recreation Centers,Selangor
TCE Tackles Sdn Bhd,65.14,4.1,Fishing & Hunting,Selangor
Karambunai Fishing Jetty,31.43,3.8,Fishing & Hunting,Sabah
Elevate Sports Performance,43.14,5.0,Recreation Centers,Selangor
Brother One Gym & Fitness Sentul,33.86,5.0,Gyms & Studios,Kuala Lumpur
Berapit Sport Centre,60.86,4.3,Other Outdoor & Lawn Sports,Other
Anytime Fitness Tropika Bukit Jalil - 24 Hour Gym,35.86,4.1,Gyms & Studios,Kuala Lumpur
7 Stone Badminton Court,52.0,4.4,Recreation Centers,Sarawak
Liv Studio - Yoga & Pilates,38.71,4.8,Gyms & Studios,Selangor
Batuu Climbing,58.0,4.7,Gyms & Studios,Selangor
Anne Nikko Fitness Gym,60.86,4.9,Gyms & Studios,Selangor
KFitness Gym - #1 Biggest Gym in PJ,57.43,4.9,Gyms & Studios,Selangor
KlimbZone,48.86,4.9,Gyms & Studios,Sarawak
TT Sports Centre @ PJ,29.43,4.6,Recreation Centers,Selangor
Kolam mancing air masin telok belanga,44.57,3.7,Fishing & Hunting,Other
YOLO Fitness,48.14,4.7,Gyms & Studios,Sabah
Kolam Sri Tanjung,25.71,4.4,Fishing & Hunting,Selangor
Younique Sports Sungai Besi,34.71,3.6,Team Sports & Fields,Kuala Lumpur
Union Strength Hartamas,41.57,4.9,Gyms & Studios,Kuala Lumpur
Believe Fitness You City 3,38.14,4.7,Gyms & Studios,Selangor
Al Ryan Sauna Bangi,38.71,5.0,Saunas & Spas,Selangor
Kolam Pancing Damai Semenyih,49.29,5.0,Fishing & Hunting,Selangor
TCE Tackles Sdn Bhd,48.43,3.8,Fishing & Hunting,Selangor
"W Traditional Thai Therapeutic Wellness - Heritage Row, KL / 吉隆坡老街",47.57,4.8,Saunas & Spas,Kuala Lumpur
"Endfield Football Field, The Club",29.43,4.4,Team Sports & Fields,Selangor
Megah Rise Badminton Courts,39.71,2.6,Other Outdoor & Lawn Sports,Selangor
BBC Best Bola Challenger Futsal Center_Setapak,30.43,4.3,Ball Sports,Kuala Lumpur
The Palms Batu Pahat,30.57,4.2,Other Outdoor & Lawn Sports,Johor
Sunday Pilates,44.86,4.6,Gyms & Studios,Selangor
SnowLim Wonderland,61.86,4.6,Snow & Winter Sports,Negeri Sembilan
San Onsen KSL,63.43,4.9,Saunas & Spas,Selangor
Bora Bora Headspa,51.17,4.9,Saunas & Spas,Selangor
TCE Tackles Sdn Bhd,47.86,4.1,Fishing & Hunting,Other
TCE Tackles Sdn Bhd,69.71,3.8,Fishing & Hunting,Kuala Lumpur
Fa's Fishing Pond (Kolam Pancing Udang Galah),38.33,4.8,Fishing & Hunting,Perak
Euphoria,33.0,4.5,Gyms & Studios,Kuala Lumpur
TCE Tackles Sdn Bhd,57.0,4.3,Fishing & Hunting,Melaka
NZX Sports Arena,55.57,3.6,Team Sports & Fields,Selangor
